Year,Status,Life expectancy,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
2008.0,0,48.7,371.0,84.0,7.07,249.91,103.5,265.0,19.3,133.0,97.5,3.84,103.5,2.6,3868.58,2175942.0,9.5,9.4,0.47,8.1
2007.0,0,48.2,375.0,87.0,6.35,184.82,109.5,1014.0,18.8,138.0,112.5,3.38,109.5,2.6,2878.84,2997687.0,9.6,9.6,0.45,7.7
2006.0,0,47.7,381.0,90.0,5.84,25.09,105.33,765.0,18.2,143.0,54.0,4.54,51.0,2.5,262.42,2262399.0,9.8,9.7,0.44,7.2
2005.0,0,47.4,382.0,92.0,5.04,98.19,105.33,258.0,17.7,148.0,58.5,4.1,57.0,2.6,1443.99,19552542.0,1.0,9.9,0.43,6.8
2004.0,0,47.1,386.0,94.0,3.53,8.87,105.33,29.0,17.2,152.0,6.0,4.71,6.0,2.5,141.87,18865716.0,1.2,1.1,0.42,6.4
2003.0,0,46.8,388.0,95.0,3.49,35.93,105.33,1196.0,16.8,155.0,6.0,4.41,6.0,2.4,779.47,1823369.0,1.4,1.3,0.41,5.9
2002.0,0,46.5,391.0,96.0,2.82,24.04,105.33,11945.0,16.3,157.0,55.5,3.63,61.5,2.3,711.18,17572649.0,1.5,1.5,0.4,5.5
2001.0,0,45.7,44.0,97.0,2.58,30.36,105.33,9046.0,15.8,159.0,61.5,5.38,57.0,2.1,526.17,16983266.0,1.7,1.7,0.39,5.1
2000.0,0,45.3,48.0,97.0,1.85,15.88,105.33,2219.0,15.4,160.0,4.5,2.79,42.0,2.0,555.3,1644924.0,1.9,1.9,0.38,4.6
2015.0,0,76.4,13.0,0.0,7.95,0.0,148.5,0.0,47.7,0.0,143.48715615412618,4.79,148.5,0.2,13566.95,12753375.12,3.3,3.3,0.78,13.9
2014.0,0,76.2,131.0,0.0,8.56,2423.0,148.5,0.0,47.0,0.0,144.0,5.54,148.5,0.2,12888.3,12753375.12,3.3,3.3,0.78,13.9
2013.0,0,76.1,133.0,0.0,8.58,1991.43,148.5,0.0,46.4,0.0,147.0,5.33,148.5,0.2,12224.86,12753375.12,3.3,3.3,0.78,13.9
2012.0,0,75.9,134.0,0.0,8.18,2156.23,147.0,0.0,45.7,0.0,145.5,5.39,147.0,0.2,12565.44,12753375.12,3.3,3.3,0.78,13.8
2011.0,0,75.7,136.0,0.0,7.84,1810.88,148.5,0.0,45.1,0.0,148.5,5.65,148.5,0.1,11929.35,12753375.12,3.3,3.3,0.78,14.1
2010.0,0,75.6,138.0,0.0,7.84,1983.96,147.0,0.0,44.4,0.0,148.5,5.63,147.0,0.1,12126.88,12753375.12,3.3,3.3,0.78,14.1
2009.0,0,75.4,14.0,0.0,7.82,149.36,147.0,0.0,43.8,0.0,147.0,4.86,148.5,0.1,1312.47,12753375.12,3.4,3.3,0.79,14.2
2008.0,0,75.2,142.0,0.0,8.27,180.78,147.0,0.0,43.2,0.0,148.5,4.69,148.5,0.1,1473.32,12753375.12,3.4,3.3,0.79,14.4
2007.0,0,75.0,144.0,0.0,8.64,257.97,145.5,0.0,42.6,0.0,147.0,4.27,148.5,0.1,14252.29,12753375.12,3.4,3.3,0.78,14.5
2006.0,0,74.8,145.0,0.0,8.93,216.31,148.5,0.0,42.0,0.0,148.5,4.34,148.5,0.1,12724.39,12753375.12,3.4,3.4,0.77,14.7
2005.0,0,74.6,147.0,0.0,8.15,1455.61,148.5,0.0,41.4,0.0,147.0,4.41,148.5,0.1,11371.94,12753375.12,3.5,3.4,0.0,0.0
2004.0,0,74.4,149.0,0.0,7.28,22.86,145.5,0.0,4.8,0.0,145.5,4.21,145.5,0.1,1352.84,12753375.12,3.5,3.4,0.0,0.0
2003.0,0,74.2,151.0,0.0,7.16,1158.07,148.5,0.0,4.1,0.0,148.5,4.53,148.5,0.1,9739.83,12753375.12,3.5,3.5,0.0,0.0
2002.0,0,74.0,153.0,0.0,7.21,927.41,148.5,0.0,39.5,0.0,139.5,4.41,147.0,0.1,9386.72,12753375.12,3.6,3.5,0.0,0.0
2001.0,0,73.8,154.0,0.0,7.51,163.77,144.0,0.0,38.9,0.0,148.5,4.48,145.5,0.1,9358.15,12753375.12,3.6,3.5,0.0,0.0
2000.0,0,73.6,156.0,0.0,7.27,1127.74,147.405,0.0,38.2,0.0,144.0,4.13,142.5,0.1,9875.16,12753375.12,3.7,3.6,0.0,0.0
2015.0,0,76.3,116.0,8.0,7.97,0.0,141.0,0.0,62.8,9.0,139.5,6.91,141.0,0.1,13467.12,43417765.0,1.0,0.9,0.83,17.3
2014.0,0,76.2,118.0,8.0,7.93,847.37,141.0,1.0,62.2,9.0,138.0,4.79,141.0,0.1,12245.26,42981515.0,1.0,0.9,0.82,17.3
2013.0,0,76.0,119.0,8.0,8.28,1001.8,141.0,0.0,61.6,10.0,148.5,4.99,141.0,0.1,12976.64,42539925.0,1.0,0.9,0.82,17.3
2012.0,0,75.9,12.0,9.0,8.35,1133.56,136.5,2.0,61.0,10.0,148.5,5.2,136.5,0.1,12969.77,4296739.0,1.0,0.9,0.82,17.2
2011.0,0,75.7,12.0,9.0,8.11,1504.33,136.5,3.0,55.15829075708314,10.0,139.5,5.89,136.5,0.1,12726.98,41656879.0,1.0,0.9,0.82,17.1
2010.0,0,75.5,121.0,10.0,8.15,187.61,141.0,2.1824696436865523,59.8,11.0,142.5,6.55,141.0,0.1,1276.27,41223889.0,1.0,0.9,0.8,16.8
2009.0,0,75.6,126.0,10.0,8.33,1398.04,141.0,3.0,59.2,11.0,145.5,7.63,141.0,0.1,8161.37,479947.0,1.0,0.9,0.79,16.5
2008.0,0,75.4,126.0,10.0,8.41,1413.74,124.47313615553054,0.0,58.6,11.0,141.0,6.66,139.5,0.1,8953.36,4382389.0,1.0,0.9,0.79,16.3
2007.0,0,74.8,129.0,10.0,8.16,1105.66,127.5,0.0,58.0,12.0,138.0,6.49,136.5,0.1,7193.62,3997224.0,1.1,0.9,0.79,16.3
2006.0,0,75.2,127.0,11.0,7.75,961.18,126.0,0.0,57.5,12.0,138.0,6.68,136.5,0.1,5878.76,3955889.0,1.1,0.9,0.78,16.1
2005.0,0,74.9,127.0,11.0,7.53,96.17,132.0,0.0,56.9,12.0,142.5,6.85,147.0,0.1,576.88,39145488.0,1.1,1.0,0.78,16.3
2004.0,0,74.7,13.0,11.0,7.63,719.37,121.5,0.0,56.3,12.0,136.5,6.84,147.0,0.1,4251.57,38728696.0,1.1,1.0,0.78,16.3
2003.0,0,74.1,137.0,11.0,7.62,57.58,109.5,0.0,55.7,13.0,142.5,8.22,144.0,0.1,333.44,3839379.0,1.2,1.0,0.77,16.4
2002.0,0,74.1,138.0,12.0,7.81,470.19,99.0,0.0,55.1,13.0,141.0,8.31,139.5,0.1,2579.19,3788937.0,1.2,1.0,0.78,16.3
2001.0,0,74.0,138.0,12.0,7.76,123.01,121.935,0.0,54.6,13.0,127.5,9.38,124.5,0.1,717.69,3747159.0,1.2,1.1,0.77,15.6
2000.0,0,74.1,137.0,12.0,7.68,1349.03,121.935,6.0,54.0,14.0,132.0,9.21,124.5,0.1,7669.27,3757452.0,1.2,1.1,0.76,15.0
2015.0,0,74.8,118.0,1.0,3.7,0.0,141.0,33.0,54.9,1.0,144.0,4.86,141.0,0.1,369.65,291695.0,2.1,2.2,0.74,12.7
2014.0,0,74.6,12.0,1.0,3.91,295.61,139.5,13.0,54.1,1.0,142.5,4.48,139.5,0.1,3994.71,29622.0,2.1,2.1,0.74,12.7
2013.0,0,74.4,123.0,1.0,3.79,279.43,142.5,10.0,53.3,1.0,144.0,4.55,142.5,0.1,3843.59,289359.0,2.1,2.1,0.74,12.7
2012.0,0,74.4,121.0,1.0,3.89,274.15,142.5,0.0,52.6,1.0,144.0,4.48,142.5,0.1,3684.85,2881922.0,2.0,2.1,0.73,12.7
2011.0,0,73.9,128.0,1.0,4.09,261.0,142.5,0.0,51.9,1.0,144.0,3.71,142.5,0.1,3526.98,2875581.0,2.0,2.1,0.73,12.7
2010.0,0,73.5,132.0,1.0,4.23,224.32,141.0,2.0,51.2,1.0,144.0,4.56,141.0,0.1,3218.38,2877311.0,2.0,2.1,0.72,12.3
2009.0,0,73.3,137.0,1.0,3.96,201.19,139.5,0.0,5.7,1.0,141.0,4.55,139.5,0.1,2993.83,2888584.0,2.0,2.1,0.72,11.9
2008.0,0,73.2,14.0,1.0,3.96,2.89,133.5,0.0,5.1,1.0,136.5,3.8,133.5,0.1,41.27,29822.0,2.0,2.1,0.72,12.3
2007.0,0,73.5,132.0,1.0,3.99,44.57,127.5,1.0,49.7,1.0,133.6545658682635,4.31,132.0,0.1,3138.89,293356.0,2.0,2.1,0.71,11.7
2006.0,0,72.9,141.0,1.0,4.01,244.54,117.0,137.0,49.2,1.0,130.5,4.58,130.5,0.1,2158.3,29585.0,2.0,2.1,0.69,11.2
2005.0,0,73.0,137.0,1.0,4.25,20.22,136.5,2281.0,48.8,1.0,138.0,5.25,128.5535179640718,0.1,1643.76,2981259.0,2.0,2.1,0.68,10.9
2004.0,0,73.0,132.0,1.0,3.81,97.74,136.5,1783.0,48.4,1.0,139.5,5.5,136.5,0.1,1191.96,3612.0,2.0,2.1,0.67,10.9
2003.0,0,72.7,134.0,1.0,3.03,7.34,139.5,4.0,48.1,1.0,144.0,5.56,141.0,0.1,93.17,31786.0,2.0,2.1,0.66,10.8
2002.0,0,72.6,134.0,1.0,2.86,57.18,136.5,40.0,47.8,1.0,144.0,5.4,141.0,0.1,783.26,333897.0,2.1,2.1,0.64,10.8
